id,created_at,text
1584592900582563840,Mon Oct 24 17:09:22 +0000 2022,"@LeadershipNGA China will always have police station in any country that owe them money, very soon they will join t… https://t.co/eN4rKivUwR"
1584592900356444163,Mon Oct 24 17:09:22 +0000 2022,@dutchmaster3005 @chicagobulls @LiquiMolyUSA And that's why he ass and should have ticket book to China
1584592896954535937,Mon Oct 24 17:09:21 +0000 2022,@AdamSmith0104 @compound248 IMO if you are making a bet on China today you are making a bet it will become democrat… https://t.co/NpKn1ySuaa
1584592896220483584,Mon Oct 24 17:09:21 +0000 2022,My skinny ass thought this was a map of China depicting its heterogenous political status in the year 1925 https://t.co/8V2mY6BefP
1584592892148219904,Mon Oct 24 17:09:20 +0000 2022,RT @disclosetv: JUST IN - Secret paper from Economy Ministry concludes that selling part of the Hamburg port to China would be disastrous f…
1584592888976928768,Mon Oct 24 17:09:19 +0000 2022,"@ShellenbergerMD We did a good job of making ephedra inaccessible. Now to make the meth, cartels import chemicals f… https://t.co/1GFyXGE23x"
1584592886854995968,Mon Oct 24 17:09:19 +0000 2022,"RT @Vrutzzz: #ShivThakre ne kisi aur ka pyaar China despite of knowing that Veena had a bf outside ... just to go ahead in the game 

That'…"
1584592886263255040,Mon Oct 24 17:09:19 +0000 2022,RT @disclosetv: JUST IN - Secret paper from Economy Ministry concludes that selling part of the Hamburg port to China would be disastrous f…
1584592883486666752,Mon Oct 24 17:09:18 +0000 2022,"RT @PaulAqua2: Urgent
Rishi Sunak’s Family Runs A China-Linked, World Economic Forum Partner Company Peddling Digital ID &amp; Social Credit Sc…"
1584592881708597248,Mon Oct 24 17:09:17 +0000 2022,"RT @KanekoaTheGr8: Hongzheng Technology operates in more than 20 provinces across China in partnership with Lenovo, Huawei, China Telecom,…"
1584592881569779712,Mon Oct 24 17:09:17 +0000 2022,RT @disclosetv: JUST IN - Secret paper from Economy Ministry concludes that selling part of the Hamburg port to China would be disastrous f…
1584592877190930432,Mon Oct 24 17:09:16 +0000 2022,"RT @ChinaEDGEnews: Prof. Shirk @SusanShirk1 of UCSD explains how China's overreach risks domestic and international backlash, and why US po…"
1584592875785969664,Mon Oct 24 17:09:16 +0000 2022,Tesla cuts prices in China on concern over softening demand https://t.co/iPUOG2ozV5
1584592873541881859,Mon Oct 24 17:09:16 +0000 2022,"RT @Jkylebass: Xi’s wartime cabinet is in place. His 20th Party Congress purge not only installed loyalists, but two spy chiefs, and milita…"
1584592872690839552,Mon Oct 24 17:09:15 +0000 2022,"RT @DashDobrofsky: Donald Trump stole nuclear documents from a NATO ally, he stole documents containing Iran's missile programs, and he sto…"
1584592870732095493,Mon Oct 24 17:09:15 +0000 2022,"RT @AoxiPRNew: 10/23/2022 Miles Guo: Hu Jintao was weeping when escorted out of the venue, If Ling Jihua and Huo Ke were still in power, Hu…"
1584592868207132672,Mon Oct 24 17:09:14 +0000 2022,"RT @BenjaminNorton: The Western media is waging a systematic propaganda campaign against China, to manufacture consent for the US-led new c…"
1584592864444489728,Mon Oct 24 17:09:13 +0000 2022,"RT @KokebTsama: 21
With the help of Russia, China, Turkey, UAE &amp; Iran; 🇪🇹 &amp; 🇪🇷 have been killed 
📍+500k Tigrayans massacres.
📍+120 girls &amp;…"
1584592864259895297,Mon Oct 24 17:09:13 +0000 2022,"RT @TomJGarry: NEW: Kick-off times for the #Lionesses' #FIFAWWC games:
Sat 22 Jul v P-offB, Brisbane, 7.30pm local (10.30am UK)
Fri 28 Jul…"
1584592858480140288,Mon Oct 24 17:09:12 +0000 2022,China 2nd largest economy  getting torched   yeah that's a reason to be +1% #ES_F     bec rates won't go up
1584592853212463109,Mon Oct 24 17:09:11 +0000 2022,RT @MichaelMOTTCM: This is probably why the $VIX is up today. #CHINA #CDS Up huge as the currency has a massive weakened versus the #dollar…
1584592850158616576,Mon Oct 24 17:09:10 +0000 2022,"RT @leadlagreport: China crashed and US stocks don’t care.

There number of things happening people are disregarding now is incredible."
1584592844257656835,Mon Oct 24 17:09:09 +0000 2022,"RT @johnnywharris: Why China is So Damn Big

Every country has an origin story, but some are more complicated than others. Here’s why China…"
1584592842533400577,Mon Oct 24 17:09:08 +0000 2022,RT @disclosetv: JUST IN - Secret paper from Economy Ministry concludes that selling part of the Hamburg port to China would be disastrous f…
1584592841824956417,Mon Oct 24 17:09:08 +0000 2022,"RT @KanekoaTheGr8: Hongzheng Technology operates in more than 20 provinces across China in partnership with Lenovo, Huawei, China Telecom,…"
1584592841166110720,Mon Oct 24 17:09:08 +0000 2022,@Mnorinsberg Wtf happens to aapl if china closes off?
1584592840557879296,Mon Oct 24 17:09:08 +0000 2022,"RT @Brad_Setser: Stunning chart from @jburnmurdoch.

China has reduced the quantity of the economic data that it publishes over time.

Ther…"
1584592840113664000,Mon Oct 24 17:09:08 +0000 2022,"RT @theworldindex: Motor Vehicle Production, in 2021:

1.🇨🇳 China: 26.08m
2.🇺🇸 USA: 9.16m
3.🇯🇵 Japan: 7.84m
4.🇮🇳 India: 4.39
5.🇰🇷 South Kor…"
1584592840080097280,Mon Oct 24 17:09:08 +0000 2022,"RT @ProfYangZhang: Xi will rule China for not one but at least two and likely three terms (15 years). He is ""only"" 69 year old: Mao ruled C…"
1584592837089562625,Mon Oct 24 17:09:07 +0000 2022,RT @disclosetv: JUST IN - Secret paper from Economy Ministry concludes that selling part of the Hamburg port to China would be disastrous f…
1584592836435259392,Mon Oct 24 17:09:07 +0000 2022,RT @niceblackdude: UPDATE: “Biden admin set to warn about threats to elections infrastructure — Intelligence bulletin will lay out details…
1584592833666654208,Mon Oct 24 17:09:06 +0000 2022,@diogenes4tL4rge The British masters ruled for the British masters &amp; elite Chinese families which founded Hong Kong… https://t.co/iHUA7g8Oh2
1584592832832028673,Mon Oct 24 17:09:06 +0000 2022,"RT @hyori_sunie: Jessica Jung for Wonderland China 10.2022 issue

#JessicaJung https://t.co/cF4JxgezB6"
1584592830559027201,Mon Oct 24 17:09:05 +0000 2022,@michaelkamon @stephenkalin @summer_said @DionNissenbaum Venezuela has a slightly larger oil reserve than Saudi Ara… https://t.co/EtlV2cxMrm
1584592830017679361,Mon Oct 24 17:09:05 +0000 2022,RT @disclosetv: JUST IN - Secret paper from Economy Ministry concludes that selling part of the Hamburg port to China would be disastrous f…
1584592829082656771,Mon Oct 24 17:09:05 +0000 2022,"''well, it's also difficult to say right now,
that I will, rather whether I would nuke china ('s some cities)''"
1584592827841155072,Mon Oct 24 17:09:05 +0000 2022,RT @ftchina: From China to cyber space — the best new politics books https://t.co/lfAfRwqWpU
1584592823617089536,Mon Oct 24 17:09:04 +0000 2022,"Our alumni are doing extraordinary things,  leading the Sustainability transformation in #USA #Brazil #China. Homep… https://t.co/BmsDPFCtte"
1584592822493413376,Mon Oct 24 17:09:03 +0000 2022,"@kemvaros @ilikebagels0203 @chovygoat Also lastly if Corejj did somehow win worlds with Liquid, their whole roster… https://t.co/srg8CNXwls"
1584592819204722690,Mon Oct 24 17:09:03 +0000 2022,"@garyblack00 It is and due to recession in China and the news of @elonmusk is/will dump.
I am in a same boat price… https://t.co/NSAUHmSuqm"
